complexion_accuracy,complexion_loss,loss,measurements_loss,measurements_mae
0.0,1.5011237859725952,9552.7060546875,9551.205078125,90.03398132324219
0.0,1.5544629096984863,9525.044921875,9523.490234375,89.89193725585938
0.0,1.5058962106704712,9499.7607421875,9498.2548828125,89.76609802246094
0.0,1.4791160821914673,9467.5078125,9466.0283203125,89.60844421386719
0.0,1.4817545413970947,9425.4013671875,9423.919921875,89.40576934814453
0.0,1.5339394807815552,9373.130859375,9371.5966796875,89.15339660644531
0.0,1.6172981262207031,9308.1279296875,9306.5107421875,88.83914947509766
0.0,1.7410602569580078,9228.0791015625,9226.337890625,88.45149230957031
0.0,1.912184476852417,9129.2373046875,9127.3251953125,87.97032165527344
0.0,2.1400585174560547,9008.126953125,9005.9873046875,87.37683868408203
0.0,2.4306480884552,8860.7412109375,8858.310546875,86.64856719970703
0.0,2.7847273349761963,8682.5693359375,8679.7841796875,85.75932312011719
0.0,3.209738254547119,8469.3447265625,8466.134765625,84.68126678466797
0.0,3.693751573562622,8215.4619140625,8211.7685546875,83.37646484375
0.0,4.183915138244629,7915.6630859375,7911.4794921875,81.8042221069336
0.0,4.591475486755371,7565.0849609375,7560.49365234375,79.90550994873047
0.0,4.955545425415039,7158.39208984375,7153.4365234375,77.63272094726562
0.0,5.268437385559082,6691.4697265625,6686.20068359375,74.92491149902344
0.0,5.459449768066406,6162.1484375,6156.68896484375,71.708251953125
0.0,5.403763771057129,5569.5927734375,5564.18896484375,67.89176940917969
0.0,5.131453514099121,4918.92333984375,4913.7919921875,63.38935470581055
0.0,4.583707809448242,4220.51513671875,4215.931640625,58.097076416015625
0.0,3.689572811126709,3493.166748046875,3489.477294921875,51.90236282348633
0.0,2.3860392570495605,2766.63037109375,2764.244384765625,45.2671012878418
0.0,0.8639152646064758,2085.82421875,2084.960205078125,39.74888229370117
1.0,0.0855284035205841,1510.1248779296875,1510.039306640625,34.52162551879883
1.0,0.0031462106853723526,1107.81640625,1107.813232421875,28.95407485961914
1.0,7.054555317154154e-05,937.8846435546875,937.8845825195312,23.831758499145508
1.0,1.3589849459094694e-06,1012.9879150390625,1012.9879150390625,20.749292373657227
1.0,0.0,1245.454833984375,1245.454833984375,21.26011848449707
